"Otu00021","Otu00068","Otu00092","Otu00196","Otu00390","Otu00859","Otu00867","Otu01203","Otu01585","Otu01777","Otu01985","Otu02095","Otu02110","Otu02491","Otu02523","Otu02845","Otu02945"
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,39,0,0,0,20,0,0,0,0,0,0,0,0,0,0
15,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0
387,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0
11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
197,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0
176,6,26,0,0,0,0,4,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
36,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,108,0,3,0,0,150,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,43,0,0,0,21,0,0,0,0,0,0,0,0,0,0
468,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,64,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0
154,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0
0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,192,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,635,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,12,139,0,0,0,247,0,0,0,0,0,0,0,0,0,0
163,94,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,62,0,0,0,0,1,0,0,0,0,0,0,0,0
8,128,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0
63,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
329,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,333,0,0,0,0,144,0,0,0,0,0,0,0,0,0
733,27,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0
80,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0
456,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
499,12,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,5,0,0,0,0,53,1,0,0,0,0,0,0,0,0
0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,220,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
